kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 328 : 65792 407424 0 0 0 0 0 0 0 
_1.ptx 329 : 65792 475424 0 0 0 0 0 0 0 
_1.ptx 330 : 65792 404960 0 0 0 0 0 0 0 
_1.ptx 331 : 65792 470816 0 0 0 0 0 0 0 
_1.ptx 332 : 65792 1033024 0 0 0 0 0 0 0 
_1.ptx 333 : 65792 482880 0 0 0 0 0 0 0 
_1.ptx 335 : 65792 541888 0 0 0 0 0 0 0 
_1.ptx 336 : 65792 542592 0 0 0 0 0 0 0 
_1.ptx 337 : 65792 545120 0 0 0 0 0 0 0 
_1.ptx 338 : 65792 540480 0 0 0 0 0 0 0 
_1.ptx 339 : 65792 857184 0 4112 2056 0 0 0 0 
_1.ptx 341 : 65792 410080 0 0 0 0 0 0 0 
_1.ptx 343 : 65792 1079808 0 4112 2056 0 0 0 0 
_1.ptx 344 : 65792 487296 0 0 0 0 0 0 0 
_1.ptx 345 : 65792 726240 0 0 0 0 0 0 0 
_1.ptx 346 : 65792 738400 0 0 0 0 0 0 0 
_1.ptx 347 : 65792 1816256 0 14887 2056 0 0 0 0 
_1.ptx 349 : 65792 1428512 0 4112 2056 0 0 0 0 
_1.ptx 350 : 65792 477696 0 0 0 0 0 0 0 
_1.ptx 351 : 65792 696832 0 0 0 0 0 0 0 
_1.ptx 352 : 65792 735296 0 0 0 0 0 0 0 
_1.ptx 353 : 65792 2204096 0 20547 2056 0 0 0 0 
_1.ptx 355 : 65792 1806976 0 4112 2056 0 0 0 0 
_1.ptx 356 : 65792 468640 0 0 0 0 0 0 0 
_1.ptx 357 : 65792 701440 0 0 0 0 0 0 0 
_1.ptx 358 : 65792 733952 0 0 0 0 0 0 0 
_1.ptx 359 : 65792 1802560 0 14730 2056 0 0 0 0 
_1.ptx 361 : 65792 1545024 0 4112 2056 0 0 0 0 
_1.ptx 362 : 65792 466016 0 0 0 0 0 0 0 
_1.ptx 363 : 65792 678368 0 0 0 0 0 0 0 
_1.ptx 364 : 65792 727040 0 0 0 0 0 0 0 
_1.ptx 365 : 65792 1913888 0 14401 2056 0 0 0 0 
_1.ptx 367 : 65792 671168 0 0 0 0 0 0 0 
_1.ptx 368 : 65792 477216 0 0 0 0 0 0 0 
_1.ptx 369 : 65792 410944 0 0 0 0 0 0 0 
_1.ptx 370 : 65792 475424 0 0 0 0 0 0 0 
_1.ptx 371 : 65792 407744 0 0 0 0 0 0 0 
_1.ptx 372 : 65792 473952 0 0 0 0 0 0 0 
